nama_dosen,judul_penelitian,abstrak_penelitian,tahun_publikasi
"Ir. Rudy Ariyanto, ST., M.Cs.",Countering Social Media Misinformation: A Sentence-Level Feature Approach to Fake News Classification,"This paper introduces a hybrid framework for fake news classification in Indonesian-Language social media by integrating document-level similarity with sentence-level linguistic analysis. The approach begins with cosine similarity computation between user-submitted headlines and a curated hoax corpus represented through TF-IDF vectors. Headlines that exceed the threshold are immediately labeled as fake, while those falling below undergo a second stage of analysis. In this stage, relevant tweets are retrieved in real time and examined using six carefully selected sentence-level features: average sentence length, punctuation frequency, function word usage, phrase structure count, sentiment polarity, and the type–token ratio of content words. These features are designed to capture the syntactic and stylistic patterns commonly found in misinformation. The dataset, collected from TurnBackHoax.id, Komdigi, and",2025
"Ir. Rudy Ariyanto, ST., M.Cs.",Implementation of Python-Based Network Automation Technology for Computer Infrastructure Optimization,"This research presents the development and implementation of a network automation program using Python to assist network administrators in configuring MikroTik routers. Traditional manual configuration processes are often time-consuming and error-prone, creating a need for an efficient solution. The proposed automation program streamlines the configuration process, enabling administrators to complete tasks more quickly while significantly reducing the likelihood of errors. Through user testing, network administrators from RT/RW Net Dengkol confirmed that the program effectively enhances the configuration efficiency of MikroTik routers. Additionally, the tool features capabilities for exporting configurations as files, further facilitating network management. Despite its advantages, the program currently relies on a command-line interface, highlighting the need for future enhancements such as a graphical user interface and improved login functionality. Overall, this research demonstrates the potential of Python-based automation in optimizing network management and supporting administrators in their daily tasks.",2025
"Ir. Rudy Ariyanto, ST., M.Cs.",PREDIKSI JUMLAH PENDAFTAR PROGRAM STUDI DI PERGURUAN TINGGI DENGAN METODE ARIMA: STUDI KASUS JALUR SBMPTN DAN MANDIRI,"Perguruan tinggi memiliki peran strategis dalam menghasilkan sumber daya manusia yang kompeten. Namun, ketidakstabilan jumlah pendaftar di berbagai program studi menjadi tantangan, seperti yang terjadi pada Program Studi Teknik Listrik Politeknik Negeri Malang. Penurunan minat pendaftar dipengaruhi oleh dinamika tren industri dan efektivitas promosi. Penelitian ini bertujuan untuk memprediksi jumlah pendaftar guna mendukung perencanaan akademik menggunakan metode Autoregressive Integrated Moving Average (ARIMA) dengan data historis pendaftar Program Studi Teknik Listrik Politeknik Negeri Malang selama 21 tahun (2003–2023) yang berjumlah 3.973 data. Hasil penelitian menunjukkan bahwa model ARIMA (1,1,2) terbukti optimal untuk prediksi jalur SBMPTN, dengan nilai MAPE sebesar 6,51% dan akurasi 93,49%. Sedangkan untuk jalur mandiri, model ARIMA (2,1,0) adalah yang paling sesuai dengan nilai MAPE sebesar 15,66% dan akurasi 84,34%. Prediksi menunjukkan bahwa jumlah pendaftar jalur SBMPTN cenderung stabil di angka 174 hingga 176 per tahun pada 2024 hingga 2028, sedangkan jalur mandiri meningkat dari 63 (tahun 2024) menjadi 65 (tahun 2025) dan tetap stabil hingga tahun 2028. Hasil ini dapat menjadi acuan dalam strategi promosi dan perencanaan daya tampung.
Perguruan tinggi memiliki peran strategis dalam menghasilkan sumber daya manusia yang kompeten. Namun, ketidakstabilan jumlah pendaftar di berbagai program studi menjadi tantangan, seperti yang terjadi pada Program Studi Teknik Listrik Politeknik Negeri Malang. Penurunan minat pendaftar dipengaruhi oleh dinamika tren industri dan efektivitas promosi. Penelitian ini bertujuan untuk memprediksi jumlah pendaftar guna mendukung perencanaan akademik menggunakan metode Autoregressive Integrated Moving Average (ARIMA) dengan data historis pendaftar Program Studi Teknik Listrik Politeknik Negeri Malang selama 21 tahun (2003–2023) yang berjumlah 3.973 data. Hasil penelitian menunjukkan bahwa model ARIMA (1,1,2) terbukti optimal untuk prediksi jalur SBMPTN, dengan nilai MAPE sebesar 6,51% dan akurasi 93,49%. Sedangkan untuk jalur mandiri, model ARIMA (2,1,0) adalah yang paling sesuai dengan nilai MAPE sebesar 15,66% dan akurasi 84,34%. Prediksi menunjukkan bahwa jumlah pendaftar jalur SBMPTN cenderung stabil di angka 174 hingga 176 per tahun pada 2024 hingga 2028, sedangkan jalur mandiri meningkat dari 63 (tahun 2024) menjadi 65 (tahun 2025) dan tetap stabil hingga tahun 2028. Hasil ini dapat menjadi acuan dalam strategi promosi dan perencanaan daya tampung.
Perguruan tinggi memiliki peran strategis dalam menghasilkan sumber daya manusia yang kompeten. Namun, ketidakstabilan jumlah pendaftar di berbagai program studi menjadi tantangan, seperti yang terjadi pada Program Studi Teknik Listrik Politeknik Negeri Malang. Penurunan minat pendaftar dipengaruhi oleh dinamika tren industri dan efektivitas promosi. Penelitian ini bertujuan untuk memprediksi jumlah pendaftar guna mendukung perencanaan akademik menggunakan metode Autoregressive Integrated Moving Average (ARIMA) dengan data historis pendaftar Program Studi Teknik Listrik Politeknik Negeri Malang selama 21 tahun (2003–2023) yang berjumlah 3.973 data. Hasil penelitian menunjukkan bahwa model ARIMA (1,1,2) terbukti optimal untuk prediksi jalur SBMPTN, dengan nilai MAPE sebesar 6,51% dan akurasi 93,49%. Sedangkan untuk jalur mandiri, model ARIMA (2,1,0) adalah yang paling sesuai dengan nilai MAPE sebesar 15,66% dan akurasi 84,34%. Prediksi menunjukkan bahwa jumlah pendaftar jalur SBMPTN cenderung stabil di angka 174 hingga 176 per tahun pada 2024 hingga 2028, sedangkan jalur mandiri meningkat dari 63 (tahun 2024) menjadi 65 (tahun 2025) dan tetap stabil hingga tahun 2028. Hasil ini dapat menjadi acuan dalam strategi promosi dan perencanaan daya tampung.
Perguruan tinggi memiliki peran strategis dalam menghasilkan sumber daya manusia yang kompeten. Namun, ketidakstabilan jumlah pendaftar di berbagai program studi menjadi tantangan, seperti yang terjadi pada Program Studi Teknik Listrik Politeknik Negeri Malang. Penurunan minat pendaftar dipengaruhi oleh dinamika tren industri dan efektivitas promosi. Penelitian ini bertujuan untuk memprediksi jumlah pendaftar guna mendukung perencanaan akademik menggunakan metode Autoregressive Integrated Moving Average (ARIMA) dengan data historis pendaftar Program Studi Teknik Listrik Politeknik Negeri Malang selama 21 tahun (2003–2023) yang berjumlah 3.973 data. Hasil penelitian menunjukkan bahwa model ARIMA (1,1,2) terbukti optimal untuk prediksi jalur SBMPTN, dengan nilai MAPE sebesar 6,51% dan akurasi 93,49%. Sedangkan untuk jalur mandiri, model ARIMA (2,1,0) adalah yang paling sesuai dengan nilai MAPE sebesar 15,66% dan akurasi 84,34%. Prediksi menunjukkan bahwa jumlah pendaftar jalur SBMPTN cenderung stabil di angka 174 hingga 176 per tahun pada 2024 hingga 2028, sedangkan jalur mandiri meningkat dari 63 (tahun 2024) menjadi 65 (tahun 2025) dan tetap stabil hingga tahun 2028. Hasil ini dapat menjadi acuan dalam strategi promosi dan perencanaan daya tampung.
Perguruan tinggi memiliki peran strategis dalam menghasilkan sumber daya manusia yang kompeten. Namun, ketidakstabilan jumlah pendaftar di berbagai program studi menjadi tantangan, seperti yang terjadi pada Program Studi Teknik Listrik Politeknik Negeri Malang. Penurunan minat pendaftar dipengaruhi oleh dinamika tren industri dan efektivitas promosi. Penelitian ini bertujuan untuk memprediksi jumlah pendaftar guna mendukung perencanaan akademik menggunakan metode Autoregressive Integrated Moving Average (ARIMA) dengan data historis pendaftar Program Studi Teknik Listrik Politeknik Negeri Malang selama 21 tahun (2003–2023) yang berjumlah 3.973 data. Hasil penelitian menunjukkan bahwa model ARIMA (1,1,2) terbukti optimal untuk prediksi jalur SBMPTN, dengan nilai MAPE sebesar 6,51% dan akurasi 93,49%. Sedangkan untuk jalur mandiri, model ARIMA (2,1,0) adalah yang paling sesuai dengan nilai MAPE sebesar 15,66% dan akurasi 84,34%. Prediksi menunjukkan bahwa jumlah pendaftar jalur SBMPTN cenderung stabil di angka 174 hingga 176 per tahun pada 2024 hingga 2028, sedangkan jalur mandiri meningkat dari 63 (tahun 2024) menjadi 65 (tahun 2025) dan tetap stabil hingga tahun 2028. Hasil ini dapat menjadi acuan dalam strategi promosi dan perencanaan daya tampung.
Perguruan tinggi memiliki peran strategis dalam menghasilkan sumber daya manusia yang kompeten. Namun, ketidakstabilan jumlah pendaftar di berbagai program studi menjadi tantangan, seperti yang terjadi pada Program Studi Teknik Listrik Politeknik Negeri Malang. Penurunan minat pendaftar dipengaruhi oleh dinamika tren industri dan efektivitas promosi. Penelitian ini bertujuan untuk memprediksi jumlah pendaftar guna mendukung perencanaan akademik menggunakan metode Autoregressive Integrated Moving Average (ARIMA) dengan data historis pendaftar Program Studi Teknik Listrik Politeknik Negeri Malang selama 21 tahun (2003–2023) yang berjumlah 3.973 data. Hasil penelitian menunjukkan bahwa model ARIMA (1,1,2) terbukti optimal untuk prediksi jalur SBMPTN, dengan nilai MAPE sebesar 6,51% dan akurasi 93,49%. Sedangkan untuk jalur mandiri, model ARIMA (2,1,0) adalah yang paling sesuai dengan nilai MAPE sebesar 15,66% dan akurasi 84,34%. Prediksi menunjukkan bahwa jumlah pendaftar jalur SBMPTN cenderung stabil di angka 174 hingga 176 per tahun pada 2024 hingga 2028, sedangkan jalur mandiri meningkat dari 63 (tahun 2024) menjadi 65 (tahun 2025) dan tetap stabil hingga tahun 2028. Hasil ini dapat menjadi acuan dalam strategi promosi dan perencanaan daya tampung.
Perguruan tinggi memiliki peran strategis dalam menghasilkan sumber daya manusia yang kompeten. Namun, ketidakstabilan jumlah pendaftar di berbagai program studi menjadi tantangan, seperti yang terjadi pada Program Studi Teknik Listrik Politeknik Negeri Malang. Penurunan minat pendaftar dipengaruhi oleh dinamika tren industri dan efektivitas promosi. Penelitian ini bertujuan untuk memprediksi jumlah pendaftar guna mendukung perencanaan akademik menggunakan metode Autoregressive Integrated Moving Average (ARIMA) dengan data historis pendaftar Program Studi Teknik Listrik Politeknik Negeri Malang selama 21 tahun (2003–2023) yang berjumlah 3.973 data. Hasil penelitian menunjukkan bahwa model ARIMA (1,1,2) terbukti optimal untuk prediksi jalur SBMPTN, dengan nilai MAPE sebesar 6,51% dan akurasi 93,49%. Sedangkan untuk jalur mandiri, model ARIMA (2,1,0) adalah yang paling sesuai dengan nilai MAPE sebesar 15,66% dan akurasi 84,34%. Prediksi menunjukkan bahwa jumlah pendaftar jalur SBMPTN cenderung stabil di angka 174 hingga 176 per tahun pada 2024 hingga 2028, sedangkan jalur mandiri meningkat dari 63 (tahun 2024) menjadi 65 (tahun 2025) dan tetap stabil hingga tahun 2028. Hasil ini dapat menjadi acuan dalam strategi promosi dan perencanaan daya tampung.
",2025
"Rokhimatul Wakhidah, S.Pd., M.T.",Pengukuran Capability level Manajemen Risiko Dinas Komunikasi dan Informasi Kabupaten Malang Menggunakan Cobit 5,"Penelitian ini bertujuan untuk mengukur tingkat kapabilitas manajemen risiko di Dinas Komunikasi dan Informasi Kabupaten Malang menggunakan kerangka kerja COBIT 5. COBIT 5 adalah framework yang menyediakan prinsip, praktik, alat, dan model untuk membantu organisasi dalam mencapai tujuan tata kelola dan manajemen teknologi informasi. Dalam penelitian ini, domain EDM03 (Ensure Risk Optimization), APO12 (Manage Risk), dan APO13 (Manage Security) dari COBIT 5 digunakan sebagai acuan utama. Metodologi yang digunakan melibatkan pengumpulan data melalui observasi, wawancara, dan kuesioner yang ditujukan kepada pegawai Dinas Komunikasi dan Informasi Kabupaten Malang. Data yang diperoleh dianalisis untuk menentukan tingkat kapabilitas manajemen risiko saat ini dan mengidentifikasi area yang perlu ditingkatkan. Hasil penelitian menunjukkan bahwa tingkat kapabilitas manajemen risiko di Dinas Komunikasi dan Informasi Kabupaten Malang berada pada level 2 (Managed Process). Ini menunjukkan bahwa proses manajemen risiko telah dilaksanakan dengan baik namun masih memerlukan peningkatan dalam dokumentasi dan pengukuran kinerja secara konsisten. Rekomendasi yang diberikan mencakup peningkatan dokumentasi proses, pelatihan berkelanjutan bagi pegawai, serta penerapan alat bantu teknologi informasi untuk mendukung pengelolaan risiko. Implementasi rekomendasi ini diharapkan dapat meningkatkan kapabilitas manajemen risiko menuju level yang lebih tinggi sesuai dengan standar COBIT 5.",2026
"Rokhimatul Wakhidah, S.Pd., M.T.","A Cultural Perspective on Digital Transformation for Competitiveness: Integrating AI-Assisted E-Commerce, Product Diversification, Relationship Marketing, and Consumer Satisfaction","The aim of this study is to examine how digital transformation might enhance SMEs' competitiveness from a cultural standpoint via relationship marketing, product diversification, AI-based e-marketplaces, and customer happiness. This study's mixed, sequential, exploratory research question may have helped the data gathering lean more sharply toward quantitative or qualitative methods. 374 digitally enabled SMEs working in the culturally different areas of Malang, Yogyakarta, and Denpasar, Indonesia, made up the population. Interviewers employed questions that reflected various socio-cultural and market situations as a study tool. Data analysis was done using PLS-SEM. The empirical results show that the competitiveness of SMEs in AI-based e-commerce environments depends on product variety, relationship marketing, and customer satisfaction. AI is what drives e-commerce. This study makes significant scholarly contributions to marketing-driven digital transformation and managerial insights for those SMEs who are keen to maintain their competitive sustainability. It does this by revealing the role of customer satisfaction as a strategic bridging link between digital transformation and competitive advantage generation. As far as culture is concerned, the findings support the Resource-Based View (RBV) by showing that competitive advantage in digital transformation is deeply rooted in organizational capabilities, customer relationships, and market-oriented processes that are influenced by culture rather than being solely driven by technology.",2026
"Rokhimatul Wakhidah, S.Pd., M.T.",Integrating Multi-Scenario Preprocessing and Data Augmentation with BiLSTM for Robust Agricultural Weather Forecasting,"Crop yields are strongly affected by weather factors including temperature, humidity, rainfall, and wind, which play critical roles in plant development, irrigation management, and harvest outcomes. Reliable weather forecasting is thus crucial for enabling data-driven horticultural decisions and minimizing production risks. Conventional prediction techniques often struggle with non-stationary and multivariate time-series data and typically rely on a single preprocessing or feature engineering method. This study proposes a comprehensive framework integrating multiscenario preprocessing, scaling, and data augmentation with Bidirectional Long Short-Term Memory (BiLSTM) modeling to predict daily weather parameters. Preprocessing strategies include interpolation, mean, median, and k-nearest neighbors (KNN) imputation, while scaling methods involve Min-Max and Standard normalization.",2025
"Rokhimatul Wakhidah, S.Pd., M.T.","Transformasi digital UMKM dengan E- commerce, diversifikasi produk dan pemasaran relasional untuk daya saing","The development of the digital economy encourages Micro, Small, and Medium Enterprises (MSMEs) to adapt through the application of technology to survive and compete. In this context, digital transformation is a strategic step that can strengthen competitiveness, particularly through the use of e-commerce, product diversification, and relationship marketing. This study aims to analyze how these three strategies contribute to increasing the competitiveness of MSMEs. This study uses a qualitative approach with descriptive methods, using a sample of 114 MSMEs from various sectors as respondents. Data were collected through questionnaires and in-depth interviews, then analyzed to gain a comprehensive understanding of the practices and impacts of digital transformation. The results show that e-commerce can expand the market reach of MSME products. Diversifikasi Produk has been shown to help MSMEs adapt to changing consumer tastes and expand market segments. Similarly, relationship marketing can increase customer loyalty through more personalized and sustainable interactions. The integration of these three strategies creates a strategic synergy that significantly contributes to increasing the competitive advantage of MSMEs. This research provides a theoretical contribution by offering a conceptual model of digital transformation that is oriented towards competitiveness, while also providing practical implications for MSMEs and policy makers to encourage MSMEs to undertake more effective and sustainable digital transformation.",2025
"Rokhimatul Wakhidah, S.Pd., M.T.","Pendampingan Penguatan UMKM Aneka Keripik Desa Tulusbesar Dengan Diversifikasi Produk, Kemasan Premium, dan Pemasaran Online Untuk Daya Saing","Usaha mikro, kecil, dan menengah (UMKM) merupakan salah satu sektor ekonomi terpenting yang memberikan kontribusi terhadap pertumbuhan ekonomi, penciptaan lapangan kerja di  desa Tulusbesar, Kecamatan Tumpang. Obyek pengabdian kepada masyarakat ini adalah UMKM Aneka keripik desa Tulusbesar. Permasalahan utama yang dihadapi UMKM Aneka keripik ini antara lain yaitu: (1) dari aspek bidang produksi terkait proses produksinya secara manual, belum ada penerapan IPTEK. (2) dari aspek bidang manajemen menyangkut masih menerapkan manajemen tradisional. (3) dari aspek manajemen pemasaran terkait dengan pengemasan yang sangat sederhana dan tanpa disertai merk. Metode yang digunakan dalam pengabdian ini adalah pendekatan metode partisipatif. Solusi yang diberikan dalam bentuk pelatihan dan pendampingan serta pemberian bantuan mesin otomatis dan peralatan yang diperlukan untuk menyelesaikan masalah yang dihadapi sesuai dengan kesepakatan dengan mitra dan ditunjang dengan implementasi dari hasil penelitian pengusul terkait pemasaran. Adapun beberapa solusi pemecahan masalah di mitra meliputi (1) memberikan pelatihan dan pendampingan cara melakukan inovasi produk dan diversifikasi produk yang dikembangkan dengan produk lainnya yang bervariasi sesuai selera konsumen, (2) memberikan bantuan mesin otomatis dan peralatan yang menunjang proses produksi, (3) pelatihan bidang manajemen usaha, (4) melatih cara mendesain beberapa model keemasan, pelabelan, dan merk untuk hasil produk yang akan dijual agar lebih menarik, dan (5) melatih pengembangan penjualan dan promosi yang efektif melalui pemasaran secara online melalui beberapa media sosial seperti Instagram dan Whatsapp. Hasil pengabdian pada masyarakat ini mampu membantu menyelesaikan permasalahan UMKM dan meningkatkan pendapatan serta daya saing. Sebaiknya diperkuat jejaring antar-UMKM dan perangkat desa untuk menjaga keberlanjutan program serta memperluas skala dampak pemberdayaan masyarakat.",2025
"Yoppy Yunhasnawa, S.ST., M.Sc.",Integrasi Mekanisme Portion-Based Balancing dalam Pengelolaan Pembimbing dan Penguji Skripsi di Sistem Manajemen Tugas Akhir Jurusan Teknologi Informasi,"Sistem Manajemen Tugas Akhir (SIMTA) di Jurusan Teknologi Informasi berperan penting dalam pengelolaan tugas akhir atau skripsi mahasiswa. Seiring dengan peningkatan jumlah mahasiswa, distribusi beban kerja dosen pembimbing dan penguji menjadi tantangan yang semakin kompleks. Artikel ini mengusulkan integrasi mekanisme Portion-Based Balancing dalam fitur pengusulan pembimbing dan penguji skripsi untuk meningkatkan keadilan dan efisiensi distribusi beban kerja dosen. Penelitian ini menggunakan pendekatan kuasi-eksperimen dengan pengujian sistem pada beberapa skenario pembagian beban kerja. Hasilnya menunjukkan bahwa mekanisme yang diusulkan tidak hanya meningkatkan pemerataan beban kerja, tetapi juga memperbaiki transparansi dan akurasi dalam proses pengusulan. Integrasi ini diharapkan dapat diterapkan lebih luas di institusi pendidikan lain untuk meningkatkan kualitas bimbingan dan penilaian tugas akhir.",2026
"Yoppy Yunhasnawa, S.ST., M.Sc.",Inovasi Pengelolaan Dana Sosial Keagamaan melalui Aplikasi Mobile ZIS: Studi Kasus Masjid Raya An-Nur,"The management of zakat, infaq, and sadaqah (ZIS) funds in many mosques is still carried out conventionally, leading to inefficiencies in collection, reporting, and distribution, as well as limited transparency and accountability. Masjid Raya An-Nur at Politeknik Negeri Malang, as a religious activity center, plays a strategic role in managing community funds. However, its manual system has hindered timely financial recording and reporting. The main challenges include limited access for donors to contribute online, slow verification processes, and a lack of transparency that may reduce public trust. To address these issues, this community service program developed and implemented an Android-based mobile application for ZIS management. The methodology involved a needs analysis through interviews and observations, system design utilizing REST API architecture with a Laravel back-end and MySQL database, and user training for both administrators and donors. The results indicate that the application successfully facilitates online donations, provides real-time reporting, and enhances donor participation through transparency features and digital reminders. Furthermore, the payment gateway integration enables more flexible and secure payment methods. Overall, the system has improved the efficiency, transparency, and accountability of ZIS management at Masjid Raya An-Nur, strengthened donor trust, and contributed to the digital transformation of religious social fund governance.",2025
"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Aplikasi Terintegrasi KP-SPAMS Sumber Waras Berbasis Web dan Mobile Untuk Optimalisasi Layanan Air Bersih,"Kelompok Pengelola Sistem Penyediaan Air Minum dan Sanitasi (KP-SPAMS) Sumber Waras di Desa Ngenep, Kecamatan Karangploso, Kabupaten Malang, berperan menyediakan layanan air bersih bagi masyarakat. Namun, proses pengelolaan masih dilakukan secara manual, mulai dari pencatatan meter air, penyusunan tagihan, hingga pencatatan pembayaran, sehingga berpotensi menimbulkan kesalahan pencatatan, keterlambatan informasi, dan kesulitan dalam penyusunan laporan keuangan. Kegiatan Pengabdian kepada Masyarakat ini bertujuan untuk mendukung digitalisasi pengelolaan KP-SPAMS melalui penerapan aplikasi Sistem Informasi Manajemen KP-SPAMS berbasis web yang terintegrasi dengan aplikasi mobile. Aplikasi web digunakan oleh pengurus posko untuk mengelola data pelanggan, tagihan, pembayaran, dan laporan, sedangkan aplikasi mobile digunakan petugas lapangan untuk mencatat meter air dan menyampaikan informasi tagihan kepada pelanggan. Metode pelaksanaan meliputi analisis kebutuhan mitra, perancangan dan pengembangan sistem, uji coba terbatas, pelatihan pengguna, serta pendampingan operasional. Hasil pelaksanaan menunjukkan peningkatan efisiensi pencatatan pemakaian air, kemudahan pembuatan tagihan, dan perbaikan transparansi pengelolaan keuangan KP-SPAMS. Kegiatan ini diharapkan dapat menjadi model implementasi teknologi informasi untuk pengelolaan air bersih di KP-SPAMS lain di wilayah pedesaan.",2025
"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Teknologi Cloud Untuk Pengembangan Website Resmi Yayasan Pendidikan Daarul Faroh Solihin,"Yayasan Pendidikan Daarul Faroh Solihin merupakan lembaga pendidikan nirlaba yang menyelenggarakan layanan PAUD, TK, TPA, dan TPQ bagi masyarakat dengan biaya terjangkau, namun menghadapi keterbatasan visibilitas digital yang berdampak pada rendahnya akses informasi terkait program pendidikan, kegiatan sekolah, dan pendaftaran peserta didik baru. Untuk menjawab permasalahan tersebut, kegiatan Pengabdian kepada Masyarakat ini bertujuan mengembangkan website resmi sebagai sarana informasi dan media komunikasi yang lebih efektif antara yayasan dengan masyarakat. Kegiatan dilaksanakan melalui beberapa tahapan, yaitu identifikasi kebutuhan sistem melalui wawancara dengan pengurus yayasan, perancangan dan pengembangan website menggunakan CMS WordPress yang dipilih karena kemudahan pengelolaan konten oleh pengguna non-teknis, serta penempatan website pada layanan komputasi awan (cloud computing) guna memastikan aksesibilitas yang stabil, aman, dan mudah dipelihara. Setelah pembangunan teknis selesai, dilakukan penyusunan konten awal yang mencakup profil yayasan, struktur organisasi, program pendidikan, galeri kegiatan, serta berita-berita terbaru yang relevan bagi orang tua dan masyarakat. Selain itu, diberikan pelatihan singkat kepada guru dan staf yayasan agar mampu mengelola dan memperbarui konten secara mandiri, sehingga keberlanjutan pemanfaatan website dapat terjaga. Hasil pelaksanaan menunjukkan bahwa website yang dikembangkan mampu meningkatkan eksistensi daring yayasan, menyediakan pusat informasi yang terstruktur, serta memperluas jangkauan promosi dan komunikasi publik. Website ini diharapkan dapat menjadi sarana pendukung utama dalam peningkatan kualitas layanan pendidikan dan transparansi informasi di Yayasan Pendidikan Daarul Faroh Solihin.",2025
"Yoppy Yunhasnawa, S.ST., M.Sc.",Information system of horticultural seed ordering at republik bibit nursery using laravel,"The integration of information technology plays a vital role in improving organizational performance and supporting sustainable agricultural practices through efficient seed management systems. The existing manual seed ordering and purchasing process at Republik Bibit Nursery has led to several inefficiencies, including inaccurate stock data, transaction errors, and difficulties in estimating seed requirements. This study aims to develop an Information System of Horticultural Seed Ordering at Republik Bibit Nursery using the Laravel framework to digitalize the ordering process and enhance operational efficiency. The primary objective is to streamline order management, enable real-time stock monitoring, track seedling growth, and assist customers in estimating seed quantities based on land size. The novelty of this research lies in the integration of e-commerce functionality with agricultural decision-support features such as growth tracking and stock forecasting—an advancement beyond conventional systems that focus solely on sales transactions. The system was developed using the Waterfall method, encompassing six stages: requirement analysis, design, implementation, testing, deployment, and maintenance. Data collection was conducted through observation, interviews, and literature review to ensure comprehensive system requirements. The implementation resulted in a fully functional web-based application featuring modules for user management, product management, transactions, and reporting. Through Black Box testing, all functional scenarios for different user roles—admin, owner, employee, and customer—achieved a 100% success rate, confirming the reliability of the system. The results demonstrate that this information system effectively minimizes transaction errors, reduces seed stock shortages, and enhances decision-making accuracy for both administrators and customers. In conclusion, the developed system provides an efficient, scalable, and sustainable digital solution that supports the modernization of horticultural nurseries and contributes to the broader digital transformation of the agribusiness sector.",2025
"Dika Rizky Yunianto, S.Kom, M.Kom",Inovasi Pengelolaan Dana Sosial Keagamaan melalui Aplikasi Mobile ZIS: Studi Kasus Masjid Raya An-Nur,"The management of zakat, infaq, and sadaqah (ZIS) funds in many mosques is still carried out conventionally, leading to inefficiencies in collection, reporting, and distribution, as well as limited transparency and accountability. Masjid Raya An-Nur at Politeknik Negeri Malang, as a religious activity center, plays a strategic role in managing community funds. However, its manual system has hindered timely financial recording and reporting. The main challenges include limited access for donors to contribute online, slow verification processes, and a lack of transparency that may reduce public trust. To address these issues, this community service program developed and implemented an Android-based mobile application for ZIS management. The methodology involved a needs analysis through interviews and observations, system design utilizing REST API architecture with a Laravel back-end and MySQL database, and user training for both administrators and donors. The results indicate that the application successfully facilitates online donations, provides real-time reporting, and enhances donor participation through transparency features and digital reminders. Furthermore, the payment gateway integration enables more flexible and secure payment methods. Overall, the system has improved the efficiency, transparency, and accountability of ZIS management at Masjid Raya An-Nur, strengthened donor trust, and contributed to the digital transformation of religious social fund governance.",2025
"Dika Rizky Yunianto, S.Kom, M.Kom",Comparison of Feature Extraction in Support Vector Machine (SVM) Based Sentiment Analysis System,"Sentiment analysis plays a crucial role in natural language processing by identifying and categorizing opinions or emotions conveyed in textual data. It is widely applied across diverse fields such as product review analysis, social media monitoring, and market research. To enhance the accuracy and reliability of sentiment classification, various methods and feature extraction techniques have been explored. This study investigates the use of Support Vector Machine (SVM) for sentiment analysis, comparing three feature extraction techniques: Term Frequency-Inverse Document Frequency (TF-IDF), Bag of Words (BoW), and Word2Vec. Our findings indicate that SVM performs effectively with all three feature extraction methods, with TF-IDF yielding the highest accuracy at 0.79. Although the BoW method showed competitive results, it slightly trailed TF-IDF in k-fold validation. Word2Vec, however, exhibited the lowest performance, achieving a maximum accuracy of 0.69. A comparative analysis of accuracy, precision, recall, and F1-score highlight the superiority of TF-IDF in delivering consistent and accurate results. Further statistical analysis using ANOVA revealed no significant differences between the models across any of the evaluation metrics. Additionally, the evaluation was conducted under several scenarios, including tests on balanced and imbalanced datasets, varying dataset sizes, and different CCC parameter values for SVM. These scenarios provided deeper insights into the factors influencing the system's performance, reinforcing that TF-IDF combined with SVM remains the most effective approach in this study.",2025
"Dika Rizky Yunianto, S.Kom, M.Kom",Implementasi Gamifikasi Dalam Platform Pembelajaran Pemrograman Bahasa Java Berbasis Website,"The Industry 4.0 era is characterized by a revolution involving automation and artificial intelligence, distinguishing it from previous generations. This automation is driven by machine learning, a system that enables machines to learn from experience and data. Machine learning requires strong programming skills, which are developed through effective learning processes. However, many students encounter difficulties in learning programming, particularly during the pandemic, which has hindered face-to-face instruction. These difficulties include a lack of motivation and understanding in problem-solving. To address these issues, researchers conducted a study by developing a web-based programming learning platform that implements Gamification learning methods. This technology-enhanced learning platform is specifically designed for the Java programming language and aims to enhance student motivation and",2024
"Dika Rizky Yunianto, S.Kom, M.Kom",Enhancing Aspect-Based Sentiment Analysis for Radio Station Public Opinion: Evaluating Preprocessing Strategies and Imbalanced Data Handling,"Radio has played a crucial role in disseminating information, significantly contributing to spreading nationalism and values of struggle in Indonesia. In the digital era, radio stations face new challenges as they integrate broadcasting with new media platforms to maintain audience engagement. This study aims to develop an aspect-based sentiment analysis system for public opinions on a radio station, focusing on evaluating preprocessing strategies and imbalanced data handling methods to enhance model performance. The research addresses the significant data imbalance observed in sentiment and aspect classes, which impacts classification model performance. Various data balancing methods, including Random Oversampling, SMOTE, Undersampling, Hybrid Methods (SMOTE + Tomek Links), and Penalizing Algorithms (SVM with Class Weights), were evaluated for their effectiveness in improving",2024
